,text,result
1422,men escape car flame canyon crew investigating cause,disaster
1423,latest travel update chaos telegraph,disaster
1424,low take,NO disaster
1425,live wild wing,NO disaster
1426,guy next walk tiny office room smelling lunch evacuate,NO disaster
1427,rather as least know whatever eat heartburn stick,NO disaster
1428,know ur,NO disaster
1429,troop battle ground since deal turkey evacuate buffer zone area hence moving front,NO disaster
1430,fire get worse evacuate aka school tomorrow,NO disaster
1431,dog evacuate room disgusting as broom as,NO disaster
1432,father north tower trying evacuate people,NO disaster
1434,evacuate oak regal never,NO disaster
1435,town ordered evacuate fire,NO disaster
1436,everywhere else except like shop like panda come,NO disaster
1437,order wa,NO disaster
1438,chemical spill water plant water supply plant official,disaster
1439,house bank tree strong wind,NO disaster
1440,chesterfield apartment complex fire,NO disaster
1441,gold coast tram due broken local,disaster
1442,many fire fight air tanker pilot support crew,NO disaster
1443,unit resident fire broke morning,NO disaster
1444,family weather bomb,NO disaster
1445,grass fire burn past prompt evacuation fire,NO disaster
1446,green line train south side passenger safely say,disaster
1447,secret bunker used look like staff,NO disaster
1448,valley building fire,NO disaster
1449,fight flame save oak wildfire,NO disaster
1450,string concealment straight evacuation,NO disaster
1451,school dumb set evacuation siren accident,NO disaster
1452,anatomic mother help high evacuation,NO disaster
1453,order evacuation abandoned aircraft news,disaster
1454,even tho getting back due evacuation could make missing,NO disaster
1455,neediness taste evacuation,NO disaster
1456,know hurricane evacuation find,NO disaster
1457,would designed building occupant evacuate report evacuation assembly site,NO disaster
1458,evacuation drill fire door open got smash emergency release glass,NO disaster
1459,jeff king report level evacuation east county line hale,NO disaster
1460,ca mad river evacuation advisory ridge area,disaster
1461,prepared crucial home evacuation find,NO disaster
1462,medical care facility near nuclear plant lack evacuation plan,NO disaster
1463,evacuation order town time,disaster
1464,throw wintergreen ground would explode enemy give mouth cancer,NO disaster
1465,damn head feel like gone explode,NO disaster
1466,happy make heart explode,NO disaster
1467,say alliance,NO disaster
1468,ear explode,NO disaster
1469,guy explode,NO disaster
1470,actually heart beat fast fly chest explode,NO disaster
1471,influence simple strategy explode page create,NO disaster
1472,full stomach going explode,NO disaster
1473,need follow explode,NO disaster
1474,feel like going explode wonder begin within,NO disaster
1475,twitter match,NO disaster
1476,fact machine must exploded today following,NO disaster
1477,aphid population exploded last,NO disaster
1478,similar thing carpenter one girl threw dog,NO disaster
1479,bleach skin touching boudoir eyeball bleeding brain,NO disaster
1480,holy hell bathroom car smell like,NO disaster
1481,exploded brought universe match heaven,NO disaster
1482,electricity exploded trying fix,NO disaster
1483,even know pen still exploded like everywhere,NO disaster
1484,news science warship exploded sailor artillery dive,NO disaster
1485,moment year ago atomic bomb exploded instantly killing least,disaster
1486,take advantage smith deal right exploded car hint,NO disaster
1487,tap bath exploded look like someone love great plumbing,NO disaster
1488,twitter would exploded,NO disaster
1489,exploded brought universe match heaven,NO disaster
1490,oh wow head exploded mess crap everywhere,NO disaster
1491,engine exploded trying find solution,NO disaster
1492,hobby lobby exploded,NO disaster
1493,lump together warehouse information explosion one divestment,NO disaster
1494,explosion one morgan,NO disaster
1495,new tempered glass screen protector film blackberry full read,NO disaster
1496,new tempered glass screen protector film blackberry full read,NO disaster
1497,whole explosion thing comment first time,NO disaster
1498,ahead new paradigm injury terrorist explosion function explosion setting,NO disaster
1499,video easy natural bride tutorial explosion shadow,NO disaster
1500,least try put straw liquid one explosion,NO disaster
1501,injured boat explosion,NO disaster
1502,video game informer taken king news explosion part destiny,NO disaster
1503,pyrotechnic blossom step,NO disaster
1504,hero sprint employee sprint fox news interview shooting,disaster
1505,read eyewitness account worst,disaster
1506,eyewitness travel new,NO disaster
1507,eyewitness august jeff eye mi sport,NO disaster
1508,capture moon never visible earth,NO disaster
1509,eyewitness extreme social medium post show crazy revolution,NO disaster
1510,note meeting show mind,NO disaster
1511,marked eyewitness travel guide sterling,NO disaster
1512,affected people eyewitness,NO disaster
1513,cape thousand living cape street eyewitness eyewitness living cape,NO disaster
1514,due respect would completely disregard eyewitness account,disaster
1515,dutch crane collapse dramatic eyewitness video capture moment dutch crane,disaster
1516,dutch crane collapse dramatic eyewitness video capture moment dutch crane,disaster
1517,eyewitness,NO disaster
1518,senate committee legislation block administration,NO disaster
1519,got splashed water employee threw water one eyewitness,NO disaster
1520,eyewitness travel travel guide auction keep eye,NO disaster
1521,question proven eyewitness account always,disaster
1522,provoke outrage amid crisis famine memory,disaster
1523,provoke outrage amid crisis famine via,disaster
1524,famine memorial progress since go,NO disaster
1525,famine monument perished famine,NO disaster
1526,alive even drink look,NO disaster
1527,shameful,NO disaster
1528,news radio free famine monument,NO disaster
1529,nonsense famine memory strong exaggeration russia sanction,disaster
1530,would rather dwell land famine perfect rest,NO disaster
1531,miner apartheid sa tutu bomb famine feel like yesterday,NO disaster
1532,provoke outrage amid crisis famine memory via,disaster
1533,protester mark year since fatal police shooting,disaster
1534,police investigate fatal shooting highway,disaster
1535,success final failure courage continue count,NO disaster
1536,boy manslaughter boy manslaughter fatal,disaster
1537,boy manslaughter boy manslaughter fatal,disaster
1538,trim error led fatal safety investigation board report determined,NO disaster
1539,need put feeling social result could message,NO disaster
1541,really save people fatal intrusion interior people fly,NO disaster
1542,investigator shift focus cause fatal fire,disaster
1543,police continue investigate fatal shooting,disaster
1544,boy manslaughter boy manslaughter fatal,disaster
1545,buy release stage alternate fatality,NO disaster
1546,la top city running fatality,NO disaster
1547,highway patrol report pedestrian fatality post courier,disaster
1548,get headline,NO disaster
1549,wow red light runner intersection revealed,NO disaster
1550,generation fatality,NO disaster
1551,fatality,NO disaster
1552,monkey good character banana fatality,NO disaster
1553,flourishing sleigh bell toothsome transit,NO disaster
1555,fatality gaming picture,NO disaster
1556,south like ya name big come fatality bar minor,NO disaster
1557,let writing suffer learn seek destroy bad live write,NO disaster
1558,fatality,NO disaster
1559,best way treat,NO disaster
1560,many cancer high fatality rate year ago kill lot oncology,NO disaster
1561,fatality,NO disaster
1562,favorite tore face took posted,NO disaster
1563,fear unknown,NO disaster
1564,market driven fear fear taken many,NO disaster
1565,apocalypse blinded fear drum cover awesome,NO disaster
1566,must willing fight call spade wise savvy piece,NO disaster
1567,trying conquer fear flying massive flight,NO disaster
1568,usually never try express opinion fear hate,NO disaster
1569,show love fear,NO disaster
1570,fear god nazir taking another stab brother threat police,NO disaster
1571,grandma always fear way right,NO disaster
1572,next titled live fear,NO disaster
1573,holy someone set fire,NO disaster
1574,pinky feel like lit fire freaky,NO disaster
1575,fire,NO disaster
1576,almost set house fire make,NO disaster
1577,kindle fire fast repair service power jack charging port full read,NO disaster
1578,got charger sparked caught fire,NO disaster
1579,even like,NO disaster
1580,watched halt catch fire,NO disaster
1581,know say equivalent strawberry case would say fire,NO disaster
1582,din fire,NO disaster
1583,harry percent woman parenthood claim,NO disaster
1584,like fire,NO disaster
1585,collide turnpike,NO disaster
1586,news crew neighbor put truck fire,NO disaster
1587,go vacation end dream job party fire truck spray pool,NO disaster
1588,closed closed past trash truck,disaster
1589,toy stamp vintage steel pumper fire truck full read,NO disaster
1590,news crew neighbor put truck fire,NO disaster
1591,turnpike hour truck fire driver dead,NO disaster
1592,fire ring permit jump food truck make appealing,NO disaster
1593,last night atop fire truck,NO disaster
1594,fire part turnpike,NO disaster
1595,mark fire truck parade return,NO disaster
1596,dude front production truck cop put,NO disaster
1597,truck catch fire tree service truck caught fire around,NO disaster
1598,pickup truck fire bridge snag garden state parkway,NO disaster
1599,fire welcome new truck,NO disaster
1600,truck driver turnpike fire lane still closed police say via,disaster
1601,fire truck need,NO disaster
1602,must educate first responder adapt emergency autistic,NO disaster
1603,central first responder providing feedback third final focus group,NO disaster
1604,saint university lower tuition first responder,NO disaster
1605,community first responder radio tony,NO disaster
1606,first responder tell someone riding,NO disaster
1607,good day first responder memorial,NO disaster
1608,alarming trend among first responder raising concern local fire department colorado,NO disaster
1609,miss rare occasion first responder scene difference life,NO disaster
1610,volunteer first responder today tanker fire provided cold drink,NO disaster
1611,attention service member veteran educator first responder,NO disaster
1612,longer wait people lafayette theater shooting first responder,disaster
1613,warm exercise trainee basic first responder training,NO disaster
1614,social would like think first responder give level,NO disaster
1615,officer shot please pray police department first,NO disaster
1616,pray nation troop defend may continue watch watch first,NO disaster
1617,red cross scene around canteen first responder fighting massive,NO disaster
1618,kick refresh program supply first responder free eye drop,NO disaster
1619,please pray employee resident first,NO disaster
1620,every time get news see sadness needle first responder still shift tonight go home,NO disaster
1621,public always ability share information police first responder,NO disaster
1622,first responder cedar city community event contact meeting,NO disaster
1623,flame everywhere,NO disaster
1624,new flame next fire pot line flame right right let em wit em,NO disaster
1625,fire hell extant better go flame,NO disaster
1626,went get rice whole thing tipped like flame pant like,NO disaster
1627,read morning white moment side,NO disaster
1628,snap tool black baseball flame full,NO disaster
1629,half past five,NO disaster
1630,see flame inside eye,NO disaster
1631,waiting go flame,NO disaster
1632,go flame,NO disaster
1633,listening flame pandora,NO disaster
1634,think best bit absolutely,NO disaster
1635,would anyone want hear type shin cup noodle rolling pin sing,NO disaster
1636,laughing arsenal player corner tank,NO disaster
1637,unlike dive stand young boy kyle parker,NO disaster
1638,wind see trace nose curly hair,NO disaster
1639,free sniping hot silver round spacer bead jewelry finding fa,NO disaster
1640,think important wall many way,NO disaster
1641,runaway absolutely player,NO disaster
1642,get stayed coming guess coming,NO disaster
1643,mix new flat double sided bottle cap choose mix full,NO disaster
1645,via idea food cheesecake brownie always aesthetic,NO disaster
1646,absolutely,NO disaster
1647,lunch money falling,NO disaster
1648,see watch way much doctor,NO disaster
1649,satisfaction knowing someone logic reasoned argument,NO disaster
1650,spot flood curved cree led work light bar fog lamp full,NO disaster
1651,hey send,NO disaster
1652,decide get rid flood furniture solid waste pick call solid waste,NO disaster
1653,county official report coastal flood state park closed due large,NO disaster
1654,flood advisory august,disaster
1655,cree led work light lamp car truck boat mining flood beam full,NO disaster
1656,cree led work light bar alloy spot flood diving boat full,NO disaster
1657,cree led work light lamp car truck boat mining flood beam full,NO disaster
1658,know soon class would flood today,NO disaster
1659,cree led work light lamp car truck boat mining flood beam full,NO disaster
1660,cree led work light bar alloy spot flood diving boat full,NO disaster
1661,flood victim need relief aid region struggle flood aftermath,disaster
1662,flash flood watch effect perry,disaster
1663,cree led work light bar alloy spot flood diving boat full,NO disaster
1664,spot flood curved cree led work light bar fog lamp full,NO disaster
1665,flooding border illegal immigrant add,NO disaster
1666,memorial unveiled travis county deputy flooding,NO disaster
1667,damn gone flooding school like,NO disaster
1668,say pipe burst flooded apartment senior center,NO disaster
1669,breaking business sponge dock washed rain flooding,disaster
1671,even fathom bad weather flooding,NO disaster
1672,flooding update,NO disaster
1673,donate help flooding victim,NO disaster
1674,wow folk sorry joke must flooding feed right,NO disaster
1675,another tweet double posted within flooding duplicate,NO disaster
1676,tired hell brain keep flooding inspiration,NO disaster
1677,outfit flood net troll story complimentary one,NO disaster
1678,official drone video showing drone video given view flooded,NO disaster
1679,flood guy build dam year thar,NO disaster
1680,tornado climate god quote,NO disaster
1681,lost gun colorado flood would say could completely,NO disaster
1682,cat,NO disaster
1683,video facing persecution pastor silenced hold,NO disaster
1684,typhoon approach missing flood via,NO disaster
1685,flash flood landslide possible hanna draw monsoon rain via,disaster
1686,flood lady,NO disaster
1687,dried desert let know speaking flood speaking truth,NO disaster
1688,flood occur low season river river expedition currently operating,NO disaster
1689,flood,NO disaster
1690,blame claim state use relief even,NO disaster
1691,grass fire near forest grove sparked rock struck,NO disaster
1692,damn dry desert forest,NO disaster
1693,fire national forest acre,disaster
1694,crew small brush fire burning forest news,NO disaster
1695,news chopper mostly fire outside forest,NO disaster
1696,forest service say spending half budget united state,disaster
1697,forest service say spending half budget fire,disaster
1698,rough shelter th fire hollow th forest th could th,NO disaster
1699,use ocean water fight forest,NO disaster
1700,people come cigarette break forest,NO disaster
1701,ya damn forest,NO disaster
1702,vineyard affected forest fire,NO disaster
1703,hope rain stop forest fire water past month,NO disaster
1704,stubborn forest fire burn two province,NO disaster
1705,worth read fire rage forest service sound alarm sharply rising wildfire cost,disaster
1706,group forest service could help contain detail,disaster
1707,property loss northern ca wildfire nearly double pray please remember ca,disaster
1708,come cigarette break forest,NO disaster
1709,two new bitterroot national forest fire forest far year,disaster
1710,standing mountaintop field scented dust distant forest fire smell impending rain,NO disaster
1711,duck big flat stamp forest elephant big flat stamp flaming,NO disaster
1712,forest service budget spark political clash,disaster
1713,ca river six river national forest lightning fire morning update,disaster
1714,song fellow hail southern,NO disaster
1715,afternoon delight bounce hail storm,NO disaster
1716,issue severe thunderstorm warning big horn till,disaster
1717,rain wind hail tree bluff ridge multiple tree house south shade crest lake spann,NO disaster
1718,seen hail,NO disaster
1719,version hail shadow like crush crush,NO disaster
1720,severe thunderstorm mile north moving se wind gust large,disaster
1721,get stomach together wearing crop top rain snow sleet,NO disaster
1722,something think,NO disaster
1723,severe thunderstorm warning local fall river county wind gust penny size,disaster
1724,near west approximately foot,NO disaster
1725,save current hail,NO disaster
1726,tried destroy man boy,NO disaster
1727,new warning central hill hail affecting could later,disaster
1728,hail,NO disaster
1729,twin storm blow,NO disaster
1730,free hailstorm,NO disaster
1731,boston yesterday intense photo,NO disaster
1732,hailstorm came early,NO disaster
1733,boston,NO disaster
1734,yesterday crazy pic via herald,NO disaster
1735,get hailstorm come catch screening beer,NO disaster
1736,look like tree yard spear style bald hailstorm,NO disaster
1737,hailstorm flash flooding slam knock power customer,disaster
1738,hailstorm thunder artful,NO disaster
1739,caller say stopping overpass blocking lane,NO disaster
1740,go hailstorm stay safe,NO disaster
1741,hundred commuter abandoned station severe hailstorm,NO disaster
1742,good fashioned prairie hailstorm,NO disaster
1743,hundred commuter abandoned station severe hailstorm,NO disaster
1744,hailstorm cleanup begin,NO disaster
1745,passenger abandoned station hailstorm,NO disaster
1746,hailstorm clash gem giveaway visit profile get guide get gem,NO disaster
1747,mental health self harm feeling fit one day could,NO disaster
1748,harsh penalty legal firearm owner straw purchase firearm gang member intend cause,disaster
1749,anger acid harm vessel anything,NO disaster
1750,politician false allegation attack harm,NO disaster
1751,bear beat writer fan get actual harm shut hell,NO disaster
1752,never let experience past bring harm remember past,NO disaster
1753,tiny plastic bead used cosmetic great harm aquatic,NO disaster
1754,politician false allegation attack harm,NO disaster
1755,father come lift nation well country keep calm deliver harm,NO disaster
1756,hazard boot mercurial vapor test via,NO disaster
1757,whoever got hazard faded away one maria,NO disaster
1758,ban player caught diving look like hazard costa young miss half,NO disaster
1759,accurate even speak hazard harden true,NO disaster
1760,said overtake,NO disaster
1761,recall shield tablet possible fire,NO disaster
1762,center dashboard hazard lamp control switch panel,NO disaster
1763,hazard go crazy striker,NO disaster
1764,parent household hazard go away,NO disaster
1765,con el crack de saint episcopal school,NO disaster
1766,hazard,NO disaster
1767,choking hazard prompt recall kraft cheese single,NO disaster
1768,hazard terry mention,NO disaster
1769,add,NO disaster
1770,hazard,NO disaster
1771,road hazard confederate ave se ave se,NO disaster
1772,world recognize hazardous waste,disaster
1773,hazardous waste treatment disposal market growth statistic,disaster
1774,alfa forecast world recognize hazardous waste,disaster
1775,tanker truck carrying hazardous,NO disaster
1776,issue hazardous weather outlook,disaster
1777,world recognize hazardous waste,disaster
1778,issue hazardous weather outlook,disaster
1779,abide uniform building code safety build hazardous,NO disaster
1780,also confirmed senate therese administrator pipeline hazardous material safety administration,NO disaster
1781,hot fiat world recognize hazardous waste,disaster
1782,play happy getting much love,NO disaster
1783,triangle peter world recognize hazardous waste,disaster
1784,sh range hazardous driving due truck via,NO disaster
1785,drum hazardous waste around someone drum hazardous,disaster
1786,skinny jean hazardous,disaster
1787,added dumb idea beat summer heat,disaster
1788,new heat wave ca vote,disaster
1789,consider lived thought like,NO disaster
1790,never really seen olive leaf extract help rash good humid heat wave take olive extract,disaster
1791,yeah actually whole week heat wave,disaster
1792,nice guessing heat wave,disaster
1793,activist protest pipeline canada shell oh prepare another heat wave,disaster
1794,heat social autopsy disaster eric,NO disaster
1795,heat wave end really tomorrow still time another one thing end heat,disaster
1796,japan heat wave death toll surge via,disaster
1797,middle east cause crippling heat wave,disaster
1798,share handle heat keep cool,NO disaster
1799,god past night awesome tonight look like heat wave back breathe,NO disaster
1800,important stay hydrated midst heat,NO disaster
1801,good slept heat wave hit hot day still guess people,disaster
1802,japan heat wave death toll surge,disaster
1803,thinking super glue since,NO disaster
1804,melting bar chocolate least good something,NO disaster
1805,surrounded desire careful let desire control afterlife,NO disaster
1806,context dick slipped super bowl people would throwing,NO disaster
1807,even want think mention anything lead,NO disaster
1808,would consider good giving like think give good advice feel like,NO disaster
1809,friend mine last year load,NO disaster
1810,piling wealth thinking would last forever description people surah reflect,NO disaster
1811,come watch bash face,NO disaster
1812,line little girl behind mommy boy,NO disaster
1813,prophet upon said even giving half date,NO disaster
1814,need watch move hijack state,NO disaster
1815,prophet world twitter,NO disaster
1816,biggest security update history coming patch android hijack bug,NO disaster
1817,tension patience plan hijack,disaster
1818,tension patience plan hijack plan,disaster
1819,biggest security update history coming patch android hijack bug,NO disaster
1820,tension patience plan hijack sun,disaster
1821,jeep wirelessly hacked hijack steering brake transmission face lawsuit consider,NO disaster
1822,rest segment trying hijack someone bike,NO disaster
1823,hijack transfer move target van,disaster
1824,hijack,NO disaster
1825,hijack transfer move target van,disaster
1826,hijack transfer move target van,disaster
1827,graham,NO disaster
1828,plan patience hijack,disaster
1829,criminal hijack lorry bus,disaster
1830,wait might hijack,NO disaster
1831,remove browser,NO disaster
1832,remove browser pita hijack browser,NO disaster
1833,remove browser,NO disaster
1834,governor parole school bus via,disaster
1835,cry two tear would,NO disaster
1836,remove browser,NO disaster
1837,think parent coz let ur child pretend drive,NO disaster
1838,remove browser,NO disaster
1839,remove need recover block dont break bank,NO disaster
1840,governor parole school bus,disaster
1841,daily area school bus parole stand,disaster
1842,governor parole school bus,disaster
1843,provided year year great,NO disaster
1844,remove browser,NO disaster
1845,footage talking demanding publication secret,NO disaster
1846,earnest killing carl one chapter strange life,NO disaster
1847,hot computer send data sound wave hat best,NO disaster
1848,murderous story first,disaster
1849,say picked right car try,NO disaster
1850,hot computer send data sound wave hat best,NO disaster
1851,hot computer send data sound wave hat best,NO disaster
1852,hot computer send data sound wave hat best,NO disaster
1853,hot computer send data sound wave hat best,NO disaster
1854,computer send data sound wave hat,NO disaster
1855,murderous story first,disaster
1856,great song terrible,NO disaster
1857,everyone bike,NO disaster
1858,still vulnerable,NO disaster
1859,oh going forever seen dozen place today,NO disaster
1860,hot computer send data sound wave hat best,NO disaster
1861,learn account attack cloud access security,NO disaster
1862,hot computer send data sound wave hat best,NO disaster
1863,hot computer send data sound wave hat best,NO disaster
1864,recent,NO disaster
1865,hostage closet armed intruder la home sin,NO disaster
1866,state kill another,NO disaster
1867,ya kiss hold hostage stop give,NO disaster
1868,terrorist villager took hostage,NO disaster
1869,oh god following hostage exchange,NO disaster
1870,branch state execute hostage hour,NO disaster
1871,concealed carrier rescue hostage capture naked attacker,disaster
1872,update affiliate kill hostage,disaster
1873,affiliate kill hostage,disaster
1874,supposed arrive holding hostage want footwear,NO disaster
1875,state group kill hostage let go press herald,disaster
1876,hack late last week discovered antivirus vendor,NO disaster
1877,recent,NO disaster
1878,holding family member hostage post,disaster
1879,record shirt hostage nearly year sending last minute,NO disaster
1880,basically decide absolutely nothing else month beta hold chapter,NO disaster
1881,hostage,NO disaster
1882,video say kill hostage release female prisoner,disaster
1883,militant hostage attack,NO disaster
1884,hot specially land stadium rescue hostage best,disaster
1885,put manorial shaped near thine hostage,NO disaster
1886,hot specially land stadium rescue hostage best,disaster
1887,nuke site get,NO disaster
1888,hostage misled terrorist got caught alive,NO disaster
1889,one year massacre blast lack action remain,disaster
1890,time join global war cant sacrifice national interest save,NO disaster
1891,militant hostage attack,NO disaster
1892,massacre blast lack action hostage billing,disaster
1893,massacre blast lack action hostage billing,disaster
1894,nit change fact hostage pointless,NO disaster
1895,massacre blast lack action hostage,disaster
1896,broken hurricane may without,NO disaster
1897,like hurricane next flag got like ride wavy park,NO disaster
1898,resident artist remember aftermath hurricane new new,NO disaster
1899,found hurricane brewing,NO disaster
1900,preaching holy holy spirit blow atmosphere atmosphere air,NO disaster
1901,would blow kept send proof,NO disaster
1902,hurricane live looping,disaster
1903,rage hurricane sandy,NO disaster
1904,thanks,NO disaster
1905,happy birthday,NO disaster
1906,site get million undo hurricane toll,NO disaster
1908,terror militant attack police post suspected militant tonight,disaster
1909,thinking maybe wait til preseason game case somebody get,NO disaster
1910,dead dozen injured blast near house summer war new york,disaster
1911,anybody,NO disaster
1912,terror militant attack police post injured time,disaster
1913,man injured shooting,NO disaster
1914,harper wood policeman injured fight dead man found township,NO disaster
1915,redskin right shoulder training camp watch play,NO disaster
1916,made fall injured,NO disaster
1917,weak sauce got injured sled,NO disaster
1918,terrorist open fire police post injured firing underway see,disaster
1919,injured year great deal,NO disaster
1920,terror militant attack police post suspected militant tonight news,disaster
1921,terror militant attack police post suspected militant tonight,disaster
1922,valley teen teenage boy peer,NO disaster
1923,fire truck ambulance wellington ridge one unit sure injury,NO disaster
1924,bowman say team leadership depth key injury,NO disaster
1925,common running injury avoid,NO disaster
1926,cardinal brown make headline minor injury continue build,NO disaster
1927,glad see career rebirth injury caught,NO disaster
1929,going still leading rusher ly barring injury,NO disaster
1930,san run,NO disaster
1931,injury bug aint funny enough injury last,NO disaster
1932,multiple injury saint unit,NO disaster
1933,injury account elevated level,NO disaster
1934,thankful injury minor still relax little one cursed injury bug,NO disaster
1935,discus,NO disaster
1936,collins could become dirk would,NO disaster
1937,guess confused site week one even injury,NO disaster
1938,injury green line train south side,disaster
1939,wishing injury opposition get rivalry miss petty,NO disaster
1940,low common cause self injury affecting young people personally someone,NO disaster
1941,inner loop exit ave silver spring,disaster
1942,incident inner loop exit ave silver spring,disaster
1943,supermarket chain recording worst injury rate among company safety,NO disaster
1944,ankle injury keep spur,NO disaster
1945,hand injury devalue fantasy digit,NO disaster
1946,new cowboy believe lance ankle injury serious,NO disaster
1947,full injury cut,NO disaster
1948,enter world extreme diving story river,NO disaster
1949,new battle unaffected injury,NO disaster
1950,ben field colt training word serious injury colt,NO disaster
1951,week hand cardinal,NO disaster
1952,live area people learn get along live,NO disaster
1953,splat although originally fool seriously considering making request,NO disaster
1954,giant want go enjoy pink,NO disaster
1955,waiting hear claim received saying,NO disaster
1956,beach algae,NO disaster
1957,child false idea homosexuality,NO disaster
1958,bit illustrative work would love catch,NO disaster
1959,honest technology day message via,NO disaster
1960,mean author writer,NO disaster
1961,idea large small intimate wedding often,NO disaster
1962,string wisdom replenish weary soul sorry,NO disaster
1963,ever notice follow many fan site seem run together feel like post,NO disaster
1964,see pic clearly good try though,NO disaster
1965,school wont let go home til help,NO disaster
1966,people thing know nothing,NO disaster
1967,report heavy incessant rain led inundation,NO disaster
1968,well safe avoid inundation zone pacific north west,NO disaster
1969,government flood relief information inundation,NO disaster
1970,inundation subtle influence distress sociologist relative,NO disaster
1972,real caught escape,NO disaster
1973,county offer purchase property florence,NO disaster
1974,however piece virtu site fixing bath give gate display landslide,NO disaster
1975,get massive turn away labour electoral credit tory much,NO disaster
1976,likely landslide victim assistance,NO disaster
1977,many landslide told loose even get upper caste vote,NO disaster
1978,artifact found southern landslide near horseshoe casino,NO disaster
1979,actually funny remains relatively static character series far suddenly like landslide,NO disaster
1980,video landslide,NO disaster
1981,possibly mean majority,NO disaster
1982,sum give historic landslide everything king,NO disaster
1983,go dungeon landslide,NO disaster
1984,need seeing technical writing administer,NO disaster
1985,dixie chick landslide sail ocean handle season,NO disaster
1986,seek emergency repair boulevard,NO disaster
1987,far landslide high exploit even statesmanlike final draft,NO disaster
1988,get excited watch lava animated short inside learn,NO disaster
1989,mostly around lava,NO disaster
1990,lava,NO disaster
1991,jordan son mar hot lava release via,NO disaster
1992,watch steak grilled molten hot lava,NO disaster
1993,lava iris,NO disaster
1994,make lava,NO disaster
1995,lava,NO disaster
1996,lava blast dan power red,disaster
1997,game tell stop going nether spawning right,NO disaster
1998,white pink lava lava bead bracelet silver tone,NO disaster
1999,gain super power lava girl throw chest wrapped chain sink bottom,NO disaster
2000,lava blast power red mix,NO disaster
2001,said domino lava cake better culinary cuisine,NO disaster
2002,lava boy taken,NO disaster
2003,lava,NO disaster
2004,get heavy rain barely festival lightning close,disaster
2005,science lightning rock atomic level,disaster
2006,world war book lightning joe autobiography general collins,NO disaster
2007,get heavy rain barely festival lightning close,disaster
2008,baby like lightning bottle,NO disaster
2009,lightning,NO disaster
2010,southeast regional lightning buckle folk take,NO disaster
2011,certified lightning cable,NO disaster
2012,lightning express golf trolley fix ramify pretty much multitudinal area thine,NO disaster
2013,world war book lightning joe autobiography general collins,NO disaster
2014,democracy,NO disaster
2015,bang phenomenal,NO disaster
2016,two film university student selected student academy award lightning,NO disaster
2017,get heavy rain barely festival lightning close,disaster
2018,lightning,NO disaster
2019,red thunder blonde lightning back,NO disaster
2020,lightning spring boom scoreless seventh inning,NO disaster
2021,soon loud bang,NO disaster
2022,breaking loud bang blast wind,NO disaster
2023,breaking loud bang blast wind,NO disaster
2024,breaking loud bang blast wind,NO disaster
2025,breaking loud bang blast wind,NO disaster
2026,breaking loud bang blast wind,NO disaster
2027,breaking loud bang blast wind,NO disaster
2028,breaking loud bang blast wind,NO disaster
2029,breaking loud bang blast wind,NO disaster
2030,breaking loud bang blast wind,NO disaster
2031,really loud bang outside bedroom door afraid,NO disaster
2032,man loud find baby via,NO disaster
2033,school ignorant as ugly want seen girl want as,NO disaster
2034,bang,NO disaster
2035,loud bang outside see floor window every room baseball bat,NO disaster
2036,breaking loud bang blast wind,NO disaster
2037,amaas carry way get stop mass murder,disaster
2038,candlelight vigil house tonight victim mass ant murder bathroom,NO disaster
2039,start making displeased noise struggle get twisted mass blanket,NO disaster
2040,socialism mean mass,NO disaster
2041,watching murder first get perspective family mass shooter crazy pain,NO disaster
2042,duck socialism mean mass,NO disaster
2043,yr since atomic terrible mass,NO disaster
2044,mass murder,disaster
2045,plane debris word mass murder,disaster
2046,give verse directly mandate terrorism genocide would like,NO disaster
2047,calling men rise commit mass,NO disaster
2048,please take itinerary mass murder dolphin whale,disaster
2049,subject mass,NO disaster
2050,today mark year since mass murder civilian end,disaster
2051,would go mass murder mistake made,disaster
2052,amazing smug guy use mass murder global power,disaster
2053,like mass think get gun illegally,NO disaster
2054,movement impeach sa accused helping mass murderer escape,disaster
2055,also mass,NO disaster
2056,president hosting terrorist,NO disaster
2057,shooting movie theater new mass murderer,disaster
2058,stereotyping mass murderer like,disaster
2059,wait really tell wife mass murderer cheat done film,disaster
2060,worth via,NO disaster
2061,tomb raider uncharted game croft drake finally run ruthless mass murderer recent,disaster
2062,disgusted libertarianism mass murderer innocent,disaster
2063,mass murderer sex without touching taking clothes fanatical hygiene,disaster
2064,sound pretty sensible mass,NO disaster
2065,mass murderer told judge use right ask jury mercy,disaster
2066,also nicely fandom mass murderer know,disaster
2067,people create rumor matter bottom line giving fifteen minute fame mass murderer,disaster
2068,king king,NO disaster
2069,trillion dollar lawsuit sandy hook,NO disaster
2070,embrace beauty massacre lie ahead,NO disaster
2071,year temple massacre prevention key,NO disaster
2072,birthday,NO disaster
2073,want popcorn tea watching massacre,NO disaster
2074,colorado theater shooting victim fear copycat,disaster
2075,person would possibly make horror film vista massacre order make money,NO disaster
2076,one year massacre broken people,NO disaster
2077,un massacre thousand need lesson,NO disaster
2078,police link beach massacre museum,disaster
2079,letter massacre provide meat table red haired warrior gone forever,NO disaster
2080,thus end clam massacre clambake,NO disaster
2081,night massacre year later firing still day infamy,NO disaster
2082,tonight going mayhem everybody free st,NO disaster
2083,adventure terrarium join,NO disaster
2084,editor chief release issue fashion model mayhem,NO disaster
